"seed","beta","retrieval_rate","successes","queries","wilson_95_low","wilson_95_high","mean_updates"
42,0.1,0.0,0,100,3.469446951953614E-18,0.03699349820698568,5.96
42,0.14384498882876628,0.0,0,100,3.469446951953614E-18,0.03699349820698568,6.86
42,0.20691380811147897,0.0,0,100,3.469446951953614E-18,0.03699349820698568,7.94
42,0.29763514416313175,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.0
42,0.42813323987193935,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.51
42,0.6158482110660264,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.62
42,0.8858667904100825,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.56
42,1.2742749857031335,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.24
42,1.8329807108324356,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.32
42,2.636650898730358,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.4
42,3.79269019073225,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.17
42,5.455594781168517,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.26
42,7.847599703514611,0.38,38,100,0.29097599252478734,0.47790244704488916,9.15
42,11.288378916846883,0.83,83,100,0.7445199523239887,0.8910643388594006,5.24
42,16.23776739188721,1.0,100,100,0.9630065017930143,1.0,2.59
42,23.357214690901213,1.0,100,100,0.9630065017930143,1.0,2.0
42,33.59818286283781,1.0,100,100,0.9630065017930143,1.0,2.0
42,48.32930238571752,1.0,100,100,0.9630065017930143,1.0,2.0
42,69.51927961775606,1.0,100,100,0.9630065017930143,1.0,2.0
42,100.0,1.0,100,100,0.9630065017930143,1.0,2.0
43,0.1,0.0,0,100,3.469446951953614E-18,0.03699349820698568,5.92
43,0.14384498882876628,0.0,0,100,3.469446951953614E-18,0.03699349820698568,6.84
43,0.20691380811147897,0.0,0,100,3.469446951953614E-18,0.03699349820698568,7.81
43,0.29763514416313175,0.0,0,100,3.469446951953614E-18,0.03699349820698568,8.9
43,0.42813323987193935,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.65
43,0.6158482110660264,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.73
43,0.8858667904100825,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.58
43,1.2742749857031335,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.46
43,1.8329807108324356,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.52
43,2.636650898730358,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.49
43,3.79269019073225,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.22
43,5.455594781168517,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.34
43,7.847599703514611,0.32,32,100,0.23669147324999093,0.41662618610452384,9.07
43,11.288378916846883,0.83,83,100,0.7445199523239887,0.8910643388594006,5.53
43,16.23776739188721,1.0,100,100,0.9630065017930143,1.0,2.69
43,23.357214690901213,1.0,100,100,0.9630065017930143,1.0,2.04
43,33.59818286283781,1.0,100,100,0.9630065017930143,1.0,2.0
43,48.32930238571752,1.0,100,100,0.9630065017930143,1.0,2.0
43,69.51927961775606,1.0,100,100,0.9630065017930143,1.0,2.0
43,100.0,1.0,100,100,0.9630065017930143,1.0,2.0
44,0.1,0.0,0,100,3.469446951953614E-18,0.03699349820698568,6.03
44,0.14384498882876628,0.0,0,100,3.469446951953614E-18,0.03699349820698568,6.89
44,0.20691380811147897,0.0,0,100,3.469446951953614E-18,0.03699349820698568,7.87
44,0.29763514416313175,0.0,0,100,3.469446951953614E-18,0.03699349820698568,8.81
44,0.42813323987193935,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.3
44,0.6158482110660264,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.48
44,0.8858667904100825,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.45
44,1.2742749857031335,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.25
44,1.8329807108324356,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.42
44,2.636650898730358,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.52
44,3.79269019073225,0.0,0,100,3.469446951953614E-18,0.03699349820698568,9.29
44,5.455594781168517,0.01,1,100,0.0017674320641406505,0.054486196178705315,9.31
44,7.847599703514611,0.3,30,100,0.2189488529493276,0.3958485463334666,8.97
44,11.288378916846883,0.79,79,100,0.7002003116591013,0.858343459380847,5.76
44,16.23776739188721,1.0,100,100,0.9630065017930143,1.0,2.72
44,23.357214690901213,1.0,100,100,0.9630065017930143,1.0,2.01
44,33.59818286283781,1.0,100,100,0.9630065017930143,1.0,2.0
44,48.32930238571752,1.0,100,100,0.9630065017930143,1.0,2.0
44,69.51927961775606,1.0,100,100,0.9630065017930143,1.0,2.0
44,100.0,1.0,100,100,0.9630065017930143,1.0,2.0
