"seed","beta","target","nearest","success","updates"
42,0.1,8532,4838,false,4
42,0.1,5780,4838,false,6
42,0.1,4867,4838,false,6
42,0.1,9318,4838,false,6
42,0.1,721,4838,false,6
42,0.1,3529,4838,false,6
42,0.1,9450,4838,false,6
42,0.1,6060,4838,false,6
42,0.1,8285,4838,false,5
42,0.1,9941,4838,false,6
42,0.1,7229,4838,false,7
42,0.1,3306,4838,false,6
42,0.1,1513,4838,false,7
42,0.1,2339,4838,false,6
42,0.1,3582,4838,false,6
42,0.1,2570,4838,false,6
42,0.1,7266,4838,false,6
42,0.1,7386,4838,false,6
42,0.1,7323,4838,false,6
42,0.1,1283,4838,false,6
42,0.1,889,4838,false,7
42,0.1,404,4838,false,6
42,0.1,8007,4838,false,6
42,0.1,4633,4838,false,7
42,0.1,6235,4838,false,6
42,0.1,2930,4838,false,7
42,0.1,6519,4838,false,6
42,0.1,9296,4838,false,6
42,0.1,7984,4838,false,6
42,0.1,3010,4838,false,6
42,0.1,4511,4838,false,6
42,0.1,3570,4838,false,6
42,0.1,7075,4838,false,6
42,0.1,8697,4838,false,7
42,0.1,7663,4838,false,6
42,0.1,196,4838,false,6
42,0.1,1997,4838,false,6
42,0.1,4771,4838,false,5
42,0.1,8845,4838,false,6
42,0.1,9150,4838,false,6
42,0.1,5436,4838,false,6
42,0.1,5930,4838,false,6
42,0.1,4404,4838,false,7
42,0.1,5174,4838,false,5
42,0.1,4641,4838,false,6
42,0.1,4756,4838,false,6
42,0.1,4240,4838,false,5
42,0.1,2351,4838,false,6
42,0.1,1579,4838,false,6
42,0.1,3126,4838,false,7
42,0.1,587,4838,false,6
42,0.1,7702,4838,false,6
42,0.1,460,4838,false,6
42,0.1,1249,4838,false,7
42,0.1,6186,4838,false,7
42,0.1,516,4838,false,4
42,0.1,9544,4838,false,6
42,0.1,5259,4838,false,7
42,0.1,5412,4838,false,6
42,0.1,956,4838,false,6
42,0.1,7957,4838,false,6
42,0.1,2227,4838,false,6
42,0.1,3640,4838,false,5
42,0.1,206,4838,false,6
42,0.1,8184,4838,false,6
42,0.1,6440,4838,false,6
42,0.1,133,4838,false,5
42,0.1,3218,4838,false,4
