seed,beta,radius_multiplier,radius,iteration,mean_w2_error,standard_deviation,convergence_rate,ci_low,ci_high
20260730,1,1,0.01,0,0.009999999999999997,5.653359947078452e-17,0,0,0
20260730,1,1,0.01,1,2.535989638350539e-18,8.75579985986323e-17,1,1,1
20260730,1,1,0.01,2,2.5504519514966457e-18,8.875927003013986e-17,1,1,1
20260730,1,1,0.01,3,2.5504519514966457e-18,8.875927003013986e-17,1,1,1
20260730,1,100,1,0,1,1.4485015443733574e-16,0,0,0
20260730,1,100,1,1,6.3141867635782735e-18,2.802311915262085e-16,1,1,1
20260730,1,100,1,2,2.5504519514966457e-18,8.875927003013986e-17,1,1,1
20260730,1,100,1,3,2.5504519514966457e-18,8.875927003013986e-17,1,1,1
20260730,0.1,1,0.03162277660168379,0,0.03162277660168379,5.677123170978835e-17,0,0,0
20260730,0.1,1,0.03162277660168379,1,2.588238243555697,0.019791214290335677,0,0,0
20260730,0.1,1,0.03162277660168379,2,5.959643119362331,0.008461014113799594,0,0,0
20260730,0.1,1,0.03162277660168379,3,6.971511612131796,0.009152632349717178,0,0,0
20260730,0.1,100,3.1622776601683795,0,3.1622776601683786,9.225564105063327e-16,0,0,0
20260730,0.1,100,3.1622776601683795,1,2.761911897332814,0.5344396717983589,0,0,0
20260730,0.1,100,3.1622776601683795,2,6.001194241801836,0.2983485372827835,0,0,0
20260730,0.1,100,3.1622776601683795,3,6.980130113059243,0.06525930233270415,0,0,0
20260731,1,1,0.01,0,0.01,5.688159489074429e-17,0,0,0
20260731,1,1,0.01,1,1.1839071648953077e-16,6.0688557853645915e-15,1,1,1
20260731,1,1,0.01,2,1.181084672765308e-16,6.044143848201085e-15,1,1,1
20260731,1,1,0.01,3,1.181084672765308e-16,6.044143848201085e-15,1,1,1
20260731,1,100,1,0,1,1.454220714250163e-16,0,0,0
20260731,1,100,1,1,1.777452975779532e-16,1.0057404503160717e-14,1,1,1
20260731,1,100,1,2,1.181084672765308e-16,6.044143848201085e-15,1,1,1
20260731,1,100,1,3,1.181084672765308e-16,6.044143848201085e-15,1,1,1
20260731,0.1,1,0.03162277660168379,0,0.03162277660168379,5.655985685147264e-17,0,0,0
20260731,0.1,1,0.03162277660168379,1,2.5888791854590107,0.021843788374120102,0,0,0
20260731,0.1,1,0.03162277660168379,2,5.9600254575874905,0.008660288903119838,0,0,0
20260731,0.1,1,0.03162277660168379,3,6.971282144438113,0.010532835180884267,0,0,0
20260731,0.1,100,3.1622776601683795,0,3.1622776601683786,9.274607488861142e-16,0,0,0
20260731,0.1,100,3.1622776601683795,1,2.74324725751342,0.5447257870508632,0,0,0
20260731,0.1,100,3.1622776601683795,2,5.9890674602225795,0.3057383084869504,0,0,0
20260731,0.1,100,3.1622776601683795,3,6.977193712385267,0.06717292437218683,0,0,0
20260732,1,1,0.01,0,0.01,5.693300475923764e-17,0,0,0
20260732,1,1,0.01,1,2.5571712262154003e-18,7.248956805027625e-17,1,1,1
20260732,1,1,0.01,2,2.5790638435019505e-18,7.293751516160457e-17,1,1,1
20260732,1,1,0.01,3,2.5790638435019505e-18,7.293751516160457e-17,1,1,1
20260732,1,100,1,0,1,1.451958390673924e-16,0,0,0
20260732,1,100,1,1,4.972013860667083e-18,1.9553203648562814e-16,1,1,1
20260732,1,100,1,2,2.5790638435019505e-18,7.293751516160457e-17,1,1,1
20260732,1,100,1,3,2.5790638435019505e-18,7.293751516160457e-17,1,1,1
20260732,0.1,1,0.03162277660168379,0,0.03162277660168379,5.707285028207678e-17,0,0,0
20260732,0.1,1,0.03162277660168379,1,2.5889366162231675,0.022990031247478226,0,0,0
20260732,0.1,1,0.03162277660168379,2,5.960068774699788,0.008644015853866385,0,0,0
20260732,0.1,1,0.03162277660168379,3,6.971434826411538,0.011413570356791658,0,0,0
20260732,0.1,100,3.1622776601683795,0,3.1622776601683786,9.242936723299474e-16,0,0,0
20260732,0.1,100,3.1622776601683795,1,2.7582533625023986,0.5406193779667179,0,0,0
20260732,0.1,100,3.1622776601683795,2,5.998108486916186,0.302003897885574,0,0,0
20260732,0.1,100,3.1622776601683795,3,6.979283487690209,0.06638275630160313,0,0,0
